pace,shooting,passing,dribbling,defending,physic,player_positions,Role
63.0,83.0,59.0,70.0,52.0,86.0,ST,Forward
82.0,75.0,74.0,79.0,77.0,81.0,"LWB, LB, LM",Defender
74.0,78.0,81.0,82.0,82.0,81.0,CM,Midfielder
81.0,42.0,68.0,70.0,83.0,86.0,CB,Defender
92.0,64.0,76.0,79.0,78.0,84.0,LB,Defender
85.0,52.0,69.0,79.0,81.0,75.0,RB,Defender
88.0,77.0,83.0,84.0,35.0,72.0,"CAM, RM",Midfielder
69.0,67.0,83.0,88.0,72.0,70.0,CM,Midfielder
84.0,81.0,72.0,86.0,39.0,73.0,ST,Forward
93.0,77.0,77.0,86.0,36.0,56.0,RW,Forward
74.0,79.0,84.0,83.0,55.0,65.0,"CAM, CM, RW",Midfielder
,,,,,,GK,Goalkeeper
91.0,81.0,74.0,85.0,48.0,73.0,"RW, LW, RM",Midfielder
86.0,74.0,78.0,79.0,77.0,80.0,CM,Midfielder
81.0,45.0,64.0,72.0,84.0,78.0,CB,Defender
82.0,79.0,76.0,86.0,40.0,68.0,"CF, ST",Forward
80.0,51.0,60.0,61.0,82.0,87.0,CB,Defender
40.0,41.0,62.0,63.0,86.0,73.0,CB,Defender
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
57.0,79.0,85.0,78.0,75.0,69.0,CM,Midfielder
82.0,84.0,82.0,80.0,55.0,70.0,"RM, RW",Midfielder
,,,,,,GK,Goalkeeper
62.0,75.0,84.0,82.0,76.0,71.0,"CDM, CM",Midfielder
65.0,68.0,83.0,81.0,75.0,67.0,CM,Midfielder
83.0,68.0,76.0,76.0,79.0,82.0,LB,Defender
61.0,84.0,81.0,81.0,60.0,73.0,"CAM, ST",Midfielder
78.0,79.0,82.0,82.0,59.0,67.0,"CAM, CM, LW",Midfielder
,,,,,,GK,Goalkeeper
69.0,79.0,80.0,88.0,52.0,59.0,"CAM, LW, CM",Midfielder
62.0,78.0,88.0,81.0,53.0,52.0,"CM, CAM",Midfielder
45.0,64.0,82.0,79.0,83.0,72.0,"CB, CDM, LB",Defender
68.0,75.0,83.0,84.0,55.0,69.0,"CAM, CM",Midfielder
,,,,,,GK,Goalkeeper
83.0,67.0,79.0,85.0,74.0,60.0,"RM, RB, RW",Defender
75.0,82.0,74.0,82.0,44.0,72.0,ST,Forward
69.0,62.0,71.0,78.0,83.0,77.0,"CDM, CM",Midfielder
82.0,61.0,74.0,78.0,79.0,79.0,RB,Defender
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
66.0,75.0,80.0,88.0,59.0,59.0,"CAM, CM, LW",Midfielder
89.0,77.0,73.0,87.0,34.0,75.0,"CF, LM, ST",Midfielder
89.0,83.0,74.0,86.0,27.0,67.0,ST,Forward
,,,,,,GK,Goalkeeper
68.0,74.0,83.0,82.0,71.0,72.0,"CM, LM, RM",Midfielder
67.0,49.0,71.0,65.0,84.0,83.0,CB,Defender
77.0,75.0,77.0,79.0,77.0,81.0,"CDM, CM",Midfielder
76.0,76.0,82.0,85.0,32.0,55.0,RW,Forward
80.0,76.0,80.0,85.0,52.0,66.0,"LM, CF",Midfielder
82.0,65.0,78.0,82.0,76.0,68.0,LB,Defender
90.0,78.0,77.0,79.0,59.0,79.0,"RW, RM, LW",Midfielder
67.0,78.0,84.0,85.0,59.0,57.0,"CAM, LM",Midfielder
78.0,78.0,78.0,80.0,84.0,87.0,"CM, CB, CDM",Defender
71.0,78.0,78.0,79.0,78.0,79.0,"CM, LM",Midfielder
66.0,68.0,71.0,73.0,82.0,83.0,"CDM, CM",Midfielder
,,,,,,GK,Goalkeeper
87.0,65.0,81.0,83.0,74.0,71.0,"LB, LM, LWB",Defender
68.0,40.0,56.0,68.0,85.0,78.0,CB,Defender
79.0,80.0,81.0,85.0,36.0,69.0,"RW, RM",Midfielder
80.0,55.0,73.0,76.0,81.0,81.0,LB,Defender
,,,,,,GK,Goalkeeper
65.0,42.0,59.0,51.0,83.0,81.0,"CB, RB",Defender
83.0,73.0,82.0,78.0,77.0,73.0,LB,Defender
80.0,83.0,81.0,83.0,52.0,75.0,"CF, ST, CAM",Midfielder
78.0,76.0,80.0,82.0,71.0,79.0,"CM, CF",Midfielder
94.0,73.0,74.0,86.0,50.0,52.0,"RM, LM",Midfielder
76.0,47.0,63.0,68.0,81.0,83.0,CB,Defender
86.0,83.0,75.0,81.0,48.0,80.0,"LM, ST",Midfielder
72.0,45.0,67.0,66.0,83.0,79.0,CB,Defender
75.0,78.0,84.0,84.0,54.0,60.0,"CAM, CM",Midfielder
61.0,72.0,79.0,77.0,79.0,79.0,"CDM, CM",Midfielder
77.0,74.0,83.0,84.0,58.0,62.0,"CAM, CM",Midfielder
59.0,75.0,85.0,77.0,74.0,73.0,CM,Midfielder
84.0,81.0,73.0,85.0,57.0,77.0,"LW, ST",Forward
81.0,30.0,66.0,69.0,83.0,78.0,CB,Defender
63.0,78.0,79.0,82.0,74.0,71.0,CM,Midfielder
89.0,70.0,73.0,86.0,37.0,59.0,"LW, RW, LM",Midfielder
60.0,65.0,70.0,72.0,85.0,88.0,"CDM, CM",Midfielder
81.0,43.0,62.0,68.0,81.0,81.0,CB,Defender
75.0,49.0,72.0,71.0,83.0,80.0,"CB, LB",Defender
93.0,78.0,74.0,84.0,33.0,64.0,"RM, RW, LW",Midfielder
76.0,53.0,77.0,78.0,78.0,75.0,"LWB, LB",Defender
,,,,,,GK,Goalkeeper
78.0,43.0,56.0,64.0,85.0,79.0,CB,Defender
,,,,,,GK,Goalkeeper
83.0,78.0,73.0,83.0,53.0,80.0,"ST, LW, LM",Midfielder
76.0,46.0,52.0,61.0,83.0,84.0,CB,Defender
80.0,61.0,66.0,72.0,78.0,89.0,RB,Defender
91.0,76.0,76.0,84.0,49.0,72.0,"RM, RW",Midfielder
84.0,82.0,68.0,79.0,29.0,69.0,ST,Forward
66.0,53.0,71.0,74.0,81.0,79.0,"CDM, CM",Midfielder
96.0,67.0,71.0,82.0,75.0,75.0,"LB, LM",Defender
64.0,72.0,79.0,82.0,66.0,67.0,CM,Midfielder
78.0,83.0,58.0,78.0,35.0,76.0,"ST, LW",Forward
71.0,72.0,81.0,88.0,69.0,72.0,"CAM, CM, CDM",Midfielder
64.0,72.0,74.0,74.0,82.0,85.0,"CDM, CM",Midfielder
83.0,50.0,69.0,71.0,83.0,82.0,CB,Defender
82.0,79.0,78.0,82.0,35.0,66.0,"RW, ST",Forward
71.0,38.0,67.0,70.0,84.0,80.0,CB,Defender
,,,,,,GK,Goalkeeper
67.0,76.0,81.0,86.0,50.0,60.0,"CAM, CF",Midfielder
68.0,80.0,84.0,81.0,44.0,55.0,"RM, LM",Midfielder
79.0,83.0,69.0,73.0,34.0,79.0,ST,Forward
70.0,77.0,81.0,85.0,37.0,68.0,"LW, LM",Midfielder
68.0,83.0,73.0,75.0,41.0,84.0,"ST, CF",Forward
70.0,75.0,76.0,76.0,78.0,84.0,CM,Midfielder
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
58.0,84.0,71.0,78.0,29.0,71.0,ST,Forward
32.0,46.0,62.0,63.0,83.0,77.0,CB,Defender
76.0,62.0,72.0,67.0,83.0,78.0,CB,Defender
56.0,65.0,73.0,76.0,82.0,69.0,CDM,Midfielder
,,,,,,GK,Goalkeeper
81.0,79.0,76.0,79.0,64.0,74.0,"LM, LW, LWB",Defender
65.0,79.0,79.0,79.0,82.0,82.0,CM,Midfielder
64.0,81.0,81.0,82.0,40.0,66.0,"CF, CAM",Midfielder
79.0,81.0,79.0,78.0,44.0,82.0,ST,Forward
79.0,76.0,78.0,86.0,47.0,68.0,"CAM, RM",Midfielder
67.0,64.0,74.0,75.0,80.0,85.0,"CDM, CM",Midfielder
63.0,57.0,62.0,59.0,83.0,81.0,CB,Defender
75.0,71.0,74.0,74.0,83.0,82.0,"CDM, CM",Midfielder
,,,,,,GK,Goalkeeper
84.0,82.0,73.0,75.0,37.0,85.0,ST,Forward
70.0,67.0,81.0,85.0,63.0,62.0,"CM, CDM",Midfielder
79.0,84.0,70.0,80.0,45.0,70.0,ST,Forward
75.0,77.0,81.0,82.0,64.0,66.0,"CM, RM",Midfielder
82.0,75.0,79.0,82.0,63.0,69.0,CAM,Midfielder
53.0,86.0,86.0,86.0,50.0,60.0,"RW, CAM, CM",Midfielder
73.0,67.0,73.0,74.0,82.0,79.0,"RB, LB, CB",Defender
76.0,63.0,80.0,77.0,76.0,73.0,"RB, CM, RM",Defender
,,,,,,GK,Goalkeeper
80.0,81.0,82.0,82.0,36.0,66.0,RW,Forward
77.0,84.0,69.0,81.0,35.0,61.0,ST,Forward
78.0,37.0,66.0,69.0,81.0,80.0,"CB, RB, LB",Defender
64.0,63.0,71.0,73.0,80.0,86.0,"CDM, CM",Midfielder
90.0,79.0,70.0,86.0,43.0,68.0,"RM, CF",Midfielder
,,,,,,GK,Goalkeeper
57.0,45.0,67.0,65.0,82.0,81.0,CB,Defender
76.0,77.0,79.0,80.0,76.0,62.0,"RB, RWB",Defender
,,,,,,GK,Goalkeeper
65.0,51.0,63.0,57.0,81.0,85.0,CB,Defender
71.0,56.0,66.0,64.0,81.0,79.0,CB,Defender
49.0,36.0,52.0,55.0,84.0,80.0,CB,Defender
64.0,84.0,67.0,76.0,39.0,71.0,ST,Forward
59.0,74.0,86.0,78.0,67.0,73.0,CM,Midfielder
,,,,,,GK,Goalkeeper
87.0,78.0,78.0,82.0,47.0,64.0,"RM, RW",Midfielder
65.0,81.0,79.0,78.0,76.0,74.0,"CDM, CM",Midfielder
66.0,71.0,83.0,79.0,76.0,79.0,"CDM, CM",Midfielder
79.0,75.0,80.0,83.0,30.0,58.0,"RW, RM",Midfielder
70.0,73.0,82.0,83.0,35.0,62.0,"CAM, CF",Midfielder
76.0,81.0,59.0,78.0,38.0,83.0,ST,Forward
82.0,73.0,79.0,80.0,69.0,69.0,"RW, RB, RM",Defender
77.0,66.0,77.0,81.0,75.0,71.0,"CDM, CM",Midfielder
76.0,74.0,76.0,80.0,76.0,79.0,"CM, CDM",Midfielder
,,,,,,GK,Goalkeeper
81.0,75.0,81.0,85.0,70.0,61.0,"CM, CAM",Midfielder
78.0,69.0,79.0,85.0,63.0,68.0,"LM, RM, CM",Midfielder
88.0,80.0,75.0,83.0,38.0,70.0,"LM, RM, ST",Midfielder
87.0,80.0,73.0,85.0,35.0,68.0,"ST, LM",Midfielder
,,,,,,GK,Goalkeeper
73.0,75.0,80.0,84.0,48.0,66.0,"CAM, CM, CF",Midfielder
,,,,,,GK,Goalkeeper
84.0,75.0,77.0,85.0,39.0,69.0,"CF, ST, CAM",Midfielder
94.0,78.0,72.0,78.0,37.0,81.0,"ST, RW",Forward
83.0,77.0,78.0,84.0,42.0,55.0,"RM, RW",Midfielder
86.0,82.0,75.0,85.0,52.0,68.0,"ST, LM",Midfielder
69.0,37.0,62.0,62.0,83.0,79.0,CB,Defender
84.0,64.0,72.0,77.0,77.0,79.0,"RWB, RB, RM",Defender
,,,,,,GK,Goalkeeper
68.0,78.0,76.0,79.0,72.0,77.0,"CM, CAM, CDM",Midfielder
83.0,77.0,64.0,77.0,39.0,82.0,ST,Forward
93.0,76.0,72.0,82.0,41.0,62.0,"RW, LW",Forward
,,,,,,GK,Goalkeeper
67.0,65.0,76.0,75.0,78.0,82.0,"CDM, CM, CB",Defender
86.0,79.0,76.0,82.0,36.0,68.0,"LM, ST, CF",Midfielder
81.0,68.0,77.0,78.0,80.0,77.0,"CDM, CM, RB",Defender
88.0,79.0,75.0,83.0,36.0,65.0,"RM, RW",Midfielder
80.0,49.0,69.0,73.0,82.0,80.0,"RWB, CB, RM",Defender
75.0,76.0,82.0,83.0,69.0,73.0,"CM, CAM",Midfielder
,,,,,,GK,Goalkeeper
68.0,49.0,62.0,64.0,82.0,77.0,CB,Defender
78.0,74.0,81.0,80.0,72.0,77.0,"CAM, CM, CDM",Midfielder
71.0,61.0,57.0,63.0,82.0,80.0,"CB, CDM",Defender
93.0,66.0,75.0,76.0,72.0,77.0,"LWB, LB",Defender
77.0,57.0,74.0,77.0,82.0,68.0,"CDM, CM, CAM",Midfielder
78.0,84.0,62.0,72.0,33.0,71.0,"ST, CF",Forward
79.0,54.0,76.0,79.0,75.0,74.0,"LB, LM",Defender
76.0,81.0,67.0,77.0,20.0,78.0,ST,Forward
74.0,80.0,83.0,81.0,64.0,79.0,"CF, CM",Midfielder
79.0,74.0,81.0,85.0,69.0,65.0,"CAM, CM, CF",Midfielder
74.0,75.0,79.0,83.0,69.0,78.0,"CM, CAM",Midfielder
78.0,77.0,82.0,79.0,71.0,71.0,"CM, RM, LM",Midfielder
86.0,77.0,76.0,81.0,45.0,63.0,"LM, LW",Midfielder
75.0,75.0,81.0,85.0,66.0,71.0,"CM, CAM",Midfielder
92.0,62.0,76.0,82.0,70.0,65.0,RWB,Defender
80.0,58.0,77.0,77.0,76.0,80.0,"RWB, RB",Defender
79.0,67.0,78.0,80.0,73.0,74.0,"LM, LB",Defender
76.0,81.0,79.0,84.0,56.0,65.0,"RW, CM",Midfielder
94.0,67.0,73.0,85.0,41.0,53.0,"LW, RW",Forward
86.0,58.0,75.0,78.0,78.0,70.0,LB,Defender
75.0,52.0,65.0,69.0,82.0,79.0,CB,Defender
84.0,74.0,77.0,84.0,56.0,76.0,"RW, CF",Forward
84.0,67.0,76.0,81.0,77.0,75.0,LB,Defender
78.0,65.0,79.0,84.0,66.0,63.0,CM,Midfielder
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
50.0,72.0,84.0,80.0,70.0,66.0,CM,Midfielder
52.0,32.0,61.0,60.0,83.0,77.0,CB,Defender
41.0,82.0,81.0,78.0,65.0,83.0,"ST, CAM",Midfielder
68.0,77.0,81.0,80.0,70.0,71.0,"CM, CDM, CAM",Midfielder
74.0,77.0,80.0,77.0,76.0,76.0,"RB, RM, CM",Defender
,,,,,,GK,Goalkeeper
73.0,72.0,80.0,87.0,75.0,71.0,LB,Defender
69.0,77.0,83.0,82.0,38.0,67.0,"LW, CAM",Midfielder
63.0,45.0,52.0,63.0,81.0,82.0,CB,Defender
65.0,61.0,74.0,74.0,80.0,68.0,LB,Defender
71.0,84.0,78.0,74.0,73.0,80.0,"CAM, CM, CF",Midfielder
57.0,48.0,63.0,61.0,80.0,78.0,CB,Defender
,,,,,,GK,Goalkeeper
56.0,40.0,60.0,62.0,82.0,76.0,CB,Defender
78.0,76.0,78.0,83.0,43.0,68.0,"CF, ST",Forward
77.0,76.0,76.0,81.0,48.0,59.0,"RM, RW",Midfielder
66.0,70.0,81.0,83.0,66.0,66.0,"CM, CAM, LM",Midfielder
66.0,47.0,58.0,64.0,82.0,80.0,CB,Defender
,,,,,,GK,Goalkeeper
68.0,67.0,76.0,80.0,78.0,79.0,"CM, CDM, RM",Midfielder
,,,,,,GK,Goalkeeper
86.0,76.0,73.0,84.0,57.0,68.0,"RM, RW",Midfielder
76.0,74.0,79.0,81.0,68.0,73.0,"CM, LM, CF",Midfielder
68.0,66.0,77.0,77.0,77.0,78.0,"CDM, CM",Midfielder
74.0,73.0,83.0,81.0,49.0,74.0,CAM,Midfielder
68.0,76.0,72.0,72.0,75.0,81.0,"CDM, CM",Midfielder
,,,,,,GK,Goalkeeper
58.0,79.0,82.0,77.0,72.0,70.0,CM,Midfielder
71.0,61.0,72.0,73.0,80.0,74.0,"CB, CDM",Defender
72.0,76.0,81.0,82.0,57.0,59.0,"RW, CAM",Midfielder
90.0,80.0,71.0,76.0,36.0,77.0,ST,Forward
65.0,71.0,80.0,77.0,76.0,72.0,"CDM, CM",Midfielder
72.0,78.0,77.0,81.0,41.0,74.0,"CF, ST, CAM",Midfielder
